category,german,english,image_url,image_local
German Action Verbs Flashcards,Basketball spielen,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/26f9-1f3fd-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/26f9-1f3fd-200d-2640-fe0f.svg
German Action Verbs Flashcards,ein Selfie machen,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f933-1f3ff.svg,images/German Action Verbs Flashcards/1f933-1f3ff.svg
German Action Verbs Flashcards,fliegen,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f426.svg,images/German Action Verbs Flashcards/1f426.svg
German Action Verbs Flashcards,gehen,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f6b6-1f3fc-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/1f6b6-1f3fc-200d-2640-fe0f.svg
German Action Verbs Flashcards,jonglieren,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f939-1f3fb-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/1f939-1f3fb-200d-2640-fe0f.svg
German Action Verbs Flashcards,klettern,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9d7-1f3ff-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/1f9d7-1f3ff-200d-2640-fe0f.svg
German Action Verbs Flashcards,lachen,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f923.svg,images/German Action Verbs Flashcards/1f923.svg
German Action Verbs Flashcards,meditieren,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9d8-1f3fd-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/1f9d8-1f3fd-200d-2640-fe0f.svg
German Action Verbs Flashcards,Rad fahren,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f6b4-1f3ff.svg,images/German Action Verbs Flashcards/1f6b4-1f3ff.svg
German Action Verbs Flashcards,Rad schlagen,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f938-1f3fc-200d-2642-fe0f.svg,images/German Action Verbs Flashcards/1f938-1f3fc-200d-2642-fe0f.svg
German Action Verbs Flashcards,rennen,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f3c3-1f3fd-200d-2640-fe0f.svg,images/German Action Verbs Flashcards/1f3c3-1f3fd-200d-2640-fe0f.svg
German Action Verbs Flashcards,schlafen,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f6cc-1f3fd.svg,images/German Action Verbs Flashcards/1f6cc-1f3fd.svg
German Action Verbs Flashcards,schreiben,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/270d-1f3ff.svg,images/German Action Verbs Flashcards/270d-1f3ff.svg
German Action Verbs Flashcards,Ski fahren,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/26f7.svg,images/German Action Verbs Flashcards/26f7.svg
German Action Verbs Flashcards,Snowboard fahren,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f3c2-1f3fe.svg,images/German Action Verbs Flashcards/1f3c2-1f3fe.svg
German Action Verbs Flashcards,tanzen,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f57a-1f3fb.svg,images/German Action Verbs Flashcards/1f57a-1f3fb.svg
German Animals Flashcards,der Affe,,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f435.svg,images/German Animals Flashcards/1f435.svg
